company_id,year,broad_sector,market_cap_crore,enterprise_value_crore,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct,sector_median_pe,valuation_flag,return_on_equity_pct,debt_to_equity,operating_profit_margin_pct,compounded_sales_growth,cluster,cluster_name,outlier,return_on_equity_pct_zscore,debt_to_equity_zscore,operating_profit_margin_pct_zscore,compounded_sales_growth_zscore
IRFC,2024,Financials,2618348.58,2449260.08,9.81,3.91,16.66,2.82,34.24,Discount,13.04,8.3784,100.0,,1,Value,False,-0.4088836119741481,0.9416711382907187,0.3625247911408472,
ITC,2024,Consumer Staples,332245.58,369131.93,47.85,3.24,17.19,4.26,50.95,Fair,27.85,0.0041,37.0,,0,High Quality,False,-0.1616108310808651,-1.0060207118690305,-0.3753430939603858,
JINDALSTEL,2024,Materials,396587.97,478682.44,77.64,5.73,20.22,1.9,55.62,Fair,13.41,0.3717,20.0,,0,High Quality,False,-0.1845064746294502,0.0027935618491950723,-0.47091627267518277,
JIOFIN,2024,Financials,1401774.99,1814281.53,34.24,9.91,26.41,3.09,34.24,Fair,1.15,0.0,84.0,,0,High Quality,False,-1.4236099041726826,-1.1018041333555648,0.36161101773781174,
JSWENERGY,2024,Energy,110870.53,124622.6,24.79,9.88,35.95,1.25,44.915,Discount,8.28,1.5156,47.0,,0,High Quality,False,-0.8201990944803574,-0.013666209939440458,0.5122980724574445,
JSWSTEEL,2024,Materials,2612646.38,3187328.18,69.27,4.37,35.49,2.94,55.62,Fair,11.55,1.1328,16.0,,0,High Quality,False,-0.31352228019741174,1.8252334962112535,-0.47115240970548244,
KOTAKBANK,2024,Financials,430223.52,548886.13,32.9,1.15,15.52,1.51,34.24,Fair,14.01,4.0037,-13382.0,,1,Value,False,-0.3261010633254871,-0.12530958247589488,-0.4074435225919148,
LICI,2024,Financials,183583.67,205478.22,30.67,8.1,12.21,3.77,34.24,Fair,49.45,0.0,4.0,,0,High Quality,False,2.6984489615286815,-1.1018041333555648,0.35704215072263434,
LODHA,2024,Real Estate,1209919.99,1301112.44,51.95,7.65,34.33,4.05,49.105,Fair,8.9,0.4407,26.0,,0,High Quality,False,0.7071067811865479,0.7071067811865475,-0.7071067811865476,
LT,2024,Industrials,1124597.5,1097873.76,30.8,2.48,16.63,1.26,47.155,Discount,77.66999999999999,0.1035,14.0,,0,High Quality,False,-0.44040529084936153,-0.7747377049934934,-0.479402257923417,
LTIM,2024,Information Technology,1347046.9,1647384.23,64.52,2.38,18.9,4.43,63.63,Fair,22.9,0.1035,18.0,,0,High Quality,False,-0.7924095666691995,2.097807416711209,-0.9284766908852594,
M&M,2024,Consumer Discretionary,4173085.48,3837414.39,14.22,0.81,29.08,2.37,38.005,Discount,18.54,1.6414,18.0,,0,High Quality,False,-0.29376489179482357,0.8590467314425552,-0.34335097303634193,
MARUTI,2024,Consumer Discretionary,1503863.63,1891991.87,20.78,8.26,29.97,1.78,38.005,Discount,15.75,0.0014,13.0,,0,High Quality,False,-0.3057853161421866,-0.6352758325141591,-0.34446839216845143,
MOTHERSON,2024,Consumer Discretionary,146151.16,161406.34,9.54,2.38,33.39,2.18,38.005,Discount,11.55,0.7617,9.0,,0,High Quality,False,-0.3238805786005826,0.05748846344699331,-0.3453623274741391,
NAUKRI,2024,Communication Services,563824.44,544283.76,32.88,8.33,11.87,4.29,48.33,Discount,1.97,0.0081,28.0,,0,High Quality,False,-0.7071067811865476,-0.7071067811865476,-0.7071067811865476,
NESTLEIND,2024,Consumer Staples,1677775.19,1677279.88,54.96,14.34,15.49,3.85,50.95,Fair,117.75,0.1033,24.0,,0,High Quality,False,2.032600517337441,-0.44373740349664254,-0.377693023203619,
NHPC,2024,Energy,1740404.25,2103124.81,71.17,13.74,18.26,1.68,44.915,Caution,10.41,0.8413,50.0,,0,High Quality,False,-0.6381736642794991,-0.4167504283382997,0.6298252773153288,
NTPC,2024,Energy,907823.11,1142814.16,30.8,5.24,37.12,0.06,44.915,Discount,13.27,1.4755,29.0,,0,High Quality,False,-0.3937639317093326,-0.03763725718516828,-0.19286515668986126,
ONGC,2024,Energy,390111.05,499988.49,18.15,10.36,11.72,1.11,44.915,Discount,16.94,0.4544,17.0,,0,High Quality,False,-0.08013326089376908,-0.6480321784473294,-0.6629739761213984,
PFC,2024,Financials,2011885.81,2014246.29,35.6,6.59,15.67,0.42,34.24,Fair,26.16,8.5219,37.0,,1,Value,False,0.710814365624235,0.9766705058884992,0.358926808366395,
PIDILITIND,2024,Materials,162274.18,165749.2,36.12,12.3,5.36,1.01,55.62,Discount,20.78,0.0454,22.0,,0,High Quality,False,0.3267013140995159,-0.7785257793442613,-0.4707982041600329,
PNB,2024,Financials,1825925.6,2365495.49,19.29,10.91,23.64,1.32,34.24,Discount,61.31999999999999,3.6843,,,1,Value,True,3.711468397054047,-0.20321061390956047,,
POWERGRID,2024,Energy,372584.24,410018.95,64.39,5.1,23.07,3.09,44.915,Fair,17.87,1.4173,87.0,,0,High Quality,False,-0.0006573688342394355,-0.07242815368644905,2.079327470562568,
RECLTD,2024,Financials,291917.42,315256.49,31.49,4.59,23.95,2.18,34.24,Fair,20.4,6.4249,101.0,,1,Value,False,0.219239643751774,0.4652163327000315,0.3625819019785369,
RELIANCE,2024,Energy,432472.71,545039.37,58.34,3.25,24.96,4.21,44.915,Fair,9.959999999999999,0.5785,18.0,,0,High Quality,False,-0.6766297410824974,-0.5738474661482066,-0.6237982411687704,
SBILIFE,2024,Financials,886097.71,1097553.71,69.98,9.48,31.04,1.62,34.24,Caution,12.7,0.0,0.0,,0,High Quality,False,-0.43790017541800863,-1.1018041333555648,0.3568137073718755,
SBILIFE,2024,Financials,886097.71,1097553.71,69.98,9.48,31.04,1.62,34.24,Caution,12.7,0.0,0.0,,0,High Quality,False,-0.43790017541800863,-1.1018041333555648,0.3568137073718755,
SBILIFE,2024,Financials,886097.71,1097553.71,69.98,9.48,31.04,1.62,34.24,Caution,12.7,0.0,0.0,,3,Turnaround,False,-0.43790017541800863,-1.1018041333555648,0.3568137073718755,
SBILIFE,2024,Financials,886097.71,1097553.71,69.98,9.48,31.04,1.62,34.24,Caution,12.7,0.0,0.0,,0,High Quality,False,-0.43790017541800863,-1.1018041333555648,0.3568137073718755,
SBIN,2024,Financials,2400436.05,2686824.35,54.93,2.72,21.53,0.42,34.24,Caution,,,,,0,High Quality,False,,,,
SHREECEM,2024,Materials,3154358.33,2911084.5,25.87,1.21,26.58,3.2,55.62,Discount,8.37,0.08,22.0,,0,High Quality,False,-0.53409768971683,-0.6956767165024175,-0.4707982041600329,
SHRIRAMFIN,2024,Financials,868933.47,1098024.4,68.53,7.91,28.82,1.86,34.24,Caution,15.12,3.994,29.0,,0,High Quality,False,-0.23137051796464836,-0.12767539338668563,0.3584699216648773,
SIEMENS,2024,Industrials,1191331.95,1268446.56,33.32,9.25,30.88,3.69,47.155,Fair,17.7,0.0182,14.0,,0,High Quality,False,-0.47356395146657665,-0.9124724407916279,-0.479402257923417,
SUNPHARMA,2024,Healthcare,1339586.09,1264175.16,37.9,6.71,21.41,3.88,47.06,Fair,15.09,0.0514,28.0,,0,High Quality,False,-0.3398579502950658,-0.5881951631034058,-0.4073087208746287,
TATACONSUM,2024,Consumer Staples,350543.35,387549.77,54.79,7.14,24.84,1.87,50.95,Fair,7.57,0.2165,15.0,,0,High Quality,False,-0.6565897648508678,0.1979004040412035,-0.3793198972950882,
TATAMOTORS,2024,Consumer Discretionary,1504106.64,1588737.42,67.07,0.93,15.35,3.65,38.005,Caution,37.46,1.2631,14.0,,0,High Quality,False,-0.21225004281557316,0.5143502522079056,-0.34424490834202953,
TATAPOWER,2024,Energy,1647269.48,1925345.06,14.5,3.48,12.02,0.49,44.915,Discount,13.23,1.6593,17.0,,0,High Quality,False,-0.3971822496473768,0.07223502420547434,-0.6629739761213984,
TATASTEEL,2024,Materials,369110.65,402972.23,48.97,9.23,38.87,1.0,55.62,Fair,-5.33,0.9462,10.0,,0,High Quality,False,-1.4843753973948268,1.3784232324457037,-0.471506615250932,
TCS,2024,Information Technology,461188.15,542230.13,78.69,6.08,29.94,1.62,63.63,Fair,50.94,0.0886,27.0,,0,High Quality,False,1.1485911222082459,-0.7320743577658845,0.7427813527082074,
TCS,2024,Information Technology,461188.15,542230.13,78.69,6.08,29.94,1.62,63.63,Fair,50.94,0.0886,27.0,,0,High Quality,False,1.1485911222082459,-0.7320743577658845,0.7427813527082074,
TCS,2024,Information Technology,461188.15,542230.13,78.69,6.08,29.94,1.62,63.63,Fair,50.94,0.0886,27.0,,0,High Quality,False,1.1485911222082459,-0.7320743577658845,0.7427813527082074,
TCS,2024,Information Technology,461188.15,542230.13,78.69,6.08,29.94,1.62,63.63,Fair,50.94,0.0886,27.0,,0,High Quality,False,1.1485911222082459,-0.7320743577658845,0.7427813527082074,
TECHM,2024,Information Technology,3021095.64,3131058.36,57.4,7.43,7.85,0.64,63.63,Fair,8.99,0.0951,9.0,,0,High Quality,False,-1.7552954290902145,0.5024378257308356,-2.599734734478726,
TITAN,2024,Consumer Discretionary,1793769.72,2116401.21,10.13,10.51,21.0,3.1,38.005,Discount,37.22,1.6531,10.0,,0,High Quality,False,-0.21328405781319582,0.8697074472951732,-0.3451388436477172,
TORNTPHARM,2024,Healthcare,1870170.39,2275967.43,46.4,6.43,27.93,1.22,47.06,Fair,24.15,0.5866,31.0,,0,High Quality,False,1.6552476844824435,0.9983754440008837,-0.4061358594163431,
TRENT,2024,Consumer Discretionary,571322.04,566293.08,8.65,11.82,34.65,3.46,38.005,Discount,36.31,0.4309,16.0,,0,High Quality,False,-0.21720469801251494,-0.24392733177061712,-0.34379794068918573,
TVSMOTOR,2024,Consumer Discretionary,266591.41,334973.15,46.1,5.62,7.1,3.07,38.005,Fair,26.22,3.8334,14.0,,0,High Quality,False,-0.2606764118708995,2.8563364022920172,-0.34424490834202953,
