company_id,year,operating_activity,cash_from_operations_cr,cfo_quality_score,cfo_quality_label
ADANIENT,Mar-22,1385.0,1385.0,1.0,Strong
ADANIENT,Mar-23,17626.0,17626.0,1.0,Strong
ADANIENT,Mar-24,10312.0,10312.0,1.0,Strong
ADANIGREEN,Mar-17,28.0,28.0,1.0,Strong
ADANIGREEN,Mar-18,649.0,649.0,1.0,Strong
ADANIGREEN,Mar-19,1625.0,1625.0,1.0,Strong
ADANIGREEN,Mar-20,1965.0,1965.0,1.0,Strong
ADANIGREEN,Mar-21,1601.0,1601.0,1.0,Strong
ADANIGREEN,Mar-22,3127.0,3127.0,1.0,Strong
ADANIGREEN,Mar-23,7265.0,7265.0,1.0,Strong
ADANIGREEN,Mar-24,7713.0,7713.0,1.0,Strong
ADANIPORTS,Mar-13,1379.0,1379.0,1.0,Strong
ADANIPORTS,Mar-14,1132.0,1132.0,1.0,Strong
ADANIPORTS,Mar-15,3057.0,3057.0,1.0,Strong
ADANIPORTS,Mar-16,2381.0,2381.0,1.0,Strong
ADANIPORTS,Mar-17,4063.0,4063.0,1.0,Strong
ADANIPORTS,Mar-18,5608.0,5608.0,1.0,Strong
ADANIPORTS,Mar-19,6029.0,6029.0,1.0,Strong
ADANIPORTS,Mar-20,7402.0,7402.0,1.0,Strong
ADANIPORTS,Mar-21,7556.0,7556.0,1.0,Strong
ADANIPORTS,Mar-22,10420.0,10420.0,1.0,Strong
ADANIPORTS,Mar-23,11900.0,11900.0,1.0,Strong
ADANIPORTS,Mar-24,15018.0,15018.0,1.0,Strong
ADANIPOWER,Mar-13,3001.0,3001.0,1.0,Strong
ADANIPOWER,Mar-14,3238.0,3238.0,1.0,Strong
ADANIPOWER,Mar-15,5824.0,5824.0,1.0,Strong
ADANIPOWER,Mar-16,5257.0,5257.0,1.0,Strong
ADANIPOWER,Mar-17,4725.0,4725.0,1.0,Strong
ADANIPOWER,Mar-18,5101.0,5101.0,1.0,Strong
ADANIPOWER,Mar-19,5610.0,5610.0,1.0,Strong
ADANIPOWER,Mar-20,5598.0,5598.0,1.0,Strong
ADANIPOWER,Mar-21,7014.0,7014.0,1.0,Strong
ADANIPOWER,Mar-22,10233.0,10233.0,1.0,Strong
ADANIPOWER,Mar-23,8431.0,8431.0,1.0,Strong
ADANIPOWER,Mar-24,14170.0,14170.0,1.0,Strong
AMBUJACEM,Dec-12,1860.0,1860.0,1.0,Strong
AMBUJACEM,Dec-13,1267.0,1267.0,1.0,Strong
AMBUJACEM,Dec-14,1675.0,1675.0,1.0,Strong
AMBUJACEM,Dec-15,1557.0,1557.0,1.0,Strong
AMBUJACEM,Dec-16,2810.0,2810.0,1.0,Strong
AMBUJACEM,Dec-17,3416.0,3416.0,1.0,Strong
AMBUJACEM,Dec-18,1703.0,1703.0,1.0,Strong
AMBUJACEM,Dec-19,4739.0,4739.0,1.0,Strong
AMBUJACEM,Dec-20,4832.0,4832.0,1.0,Strong
AMBUJACEM,Dec-21,5309.0,5309.0,1.0,Strong
AMBUJACEM,Mar-23,735.0,,,Unknown
AMBUJACEM,Mar-24,5646.0,5646.0,1.0,Strong
APOLLOHOSP,Mar-13,443.0,443.0,1.0,Strong
APOLLOHOSP,Mar-14,373.0,373.0,1.0,Strong
APOLLOHOSP,Mar-15,470.0,470.0,1.0,Strong
APOLLOHOSP,Mar-16,597.0,597.0,1.0,Strong
APOLLOHOSP,Mar-17,623.0,623.0,1.0,Strong
APOLLOHOSP,Mar-18,537.0,537.0,1.0,Strong
APOLLOHOSP,Mar-19,905.0,905.0,1.0,Strong
APOLLOHOSP,Mar-20,1293.0,1293.0,1.0,Strong
APOLLOHOSP,Mar-21,1265.0,1265.0,1.0,Strong
APOLLOHOSP,Mar-22,1696.0,1696.0,1.0,Strong
APOLLOHOSP,Mar-23,1377.0,1377.0,1.0,Strong
APOLLOHOSP,Mar-24,1920.0,1920.0,1.0,Strong
ASIANPAINT,Mar-13,1187.0,1187.0,1.0,Strong
ASIANPAINT,Mar-14,1402.0,1402.0,1.0,Strong
ASIANPAINT,Mar-15,1188.0,1188.0,1.0,Strong
ASIANPAINT,Mar-16,2243.0,2243.0,1.0,Strong
ASIANPAINT,Mar-17,1527.0,1527.0,1.0,Strong
ASIANPAINT,Mar-18,2113.0,2113.0,1.0,Strong
ASIANPAINT,Mar-19,2470.0,2470.0,1.0,Strong
ASIANPAINT,Mar-20,3038.0,3038.0,1.0,Strong
ASIANPAINT,Mar-21,3683.0,3683.0,1.0,Strong
ASIANPAINT,Mar-22,986.0,986.0,1.0,Strong
ASIANPAINT,Mar-23,4193.0,4193.0,1.0,Strong
ASIANPAINT,Mar-24,6104.0,6104.0,1.0,Strong
AGTL,Mar-18,277.0,,,Unknown
AGTL,Mar-19,356.0,,,Unknown
AGTL,Mar-20,492.0,,,Unknown
AGTL,Mar-21,654.0,,,Unknown
AGTL,Mar-22,732.0,,,Unknown
AGTL,Mar-23,853.0,,,Unknown
AGTL,Mar-24,955.0,,,Unknown
AXISBANK,Mar-13,2573.0,2573.0,1.0,Strong
AXISBANK,Mar-14,14464.0,14464.0,1.0,Strong
AXISBANK,Mar-15,-15162.0,-15162.0,1.0,Strong
AXISBANK,Mar-16,-34495.0,-34495.0,1.0,Strong
AXISBANK,Mar-17,32209.0,32209.0,1.0,Strong
AXISBANK,Mar-18,-38390.0,-38390.0,1.0,Strong
AXISBANK,Mar-19,37125.0,37125.0,1.0,Strong
AXISBANK,Mar-20,30416.0,30416.0,1.0,Strong
AXISBANK,Mar-21,12633.0,12633.0,1.0,Strong
AXISBANK,Mar-22,28137.0,28137.0,1.0,Strong
AXISBANK,Mar-23,22075.0,22075.0,1.0,Strong
AXISBANK,Mar-24,-5555.0,-5555.0,1.0,Strong
BAJAJ-AUTO,Mar-13,2218.0,2218.0,1.0,Strong
BAJAJ-AUTO,Mar-14,3502.0,3502.0,1.0,Strong
BAJAJ-AUTO,Mar-15,2114.0,2114.0,1.0,Strong
BAJAJ-AUTO,Mar-16,3690.0,3690.0,1.0,Strong
BAJAJ-AUTO,Mar-17,3267.0,3267.0,1.0,Strong
BAJAJ-AUTO,Mar-18,4328.0,4328.0,1.0,Strong
BAJAJ-AUTO,Mar-19,2487.0,2487.0,1.0,Strong
BAJAJ-AUTO,Mar-20,3850.0,3850.0,1.0,Strong
BAJAJ-AUTO,Mar-21,3120.0,3120.0,1.0,Strong
BAJAJ-AUTO,Mar-22,4197.0,4197.0,1.0,Strong
BAJAJ-AUTO,Mar-23,5277.0,5277.0,1.0,Strong
BAJAJ-AUTO,Mar-24,6558.0,6558.0,1.0,Strong
BAJAJFINSV,Mar-13,-6922.0,-6922.0,1.0,Strong
BAJAJFINSV,Mar-14,-9807.0,-9807.0,1.0,Strong
BAJAJFINSV,Mar-15,-10731.0,-10731.0,1.0,Strong
BAJAJFINSV,Mar-16,-9795.0,-9795.0,1.0,Strong
BAJAJFINSV,Mar-17,-10922.0,-10922.0,1.0,Strong
BAJAJFINSV,Mar-18,-19580.0,-19580.0,1.0,Strong
BAJAJFINSV,Mar-19,-27076.0,-27076.0,1.0,Strong
BAJAJFINSV,Mar-20,-23369.0,-23369.0,1.0,Strong
BAJAJFINSV,Mar-21,4547.0,4547.0,1.0,Strong
BAJAJFINSV,Mar-22,-33670.0,-33670.0,1.0,Strong
BAJAJFINSV,Mar-23,-39480.0,-39480.0,1.0,Strong
BAJAJFINSV,Mar-24,-68674.0,-68674.0,1.0,Strong
BAJAJHLDNG,Mar-13,473.0,473.0,1.0,Strong
BAJAJHLDNG,Mar-14,872.0,872.0,1.0,Strong
BAJAJHLDNG,Mar-15,796.0,796.0,1.0,Strong
BAJAJHLDNG,Mar-16,1147.0,1147.0,1.0,Strong
BAJAJHLDNG,Mar-17,-923.0,-923.0,1.0,Strong
BAJAJHLDNG,Mar-18,1631.0,1631.0,1.0,Strong
BAJAJHLDNG,Mar-19,628.0,628.0,1.0,Strong
BAJAJHLDNG,Mar-20,1920.0,1920.0,1.0,Strong
BAJAJHLDNG,Mar-21,272.0,272.0,1.0,Strong
BAJAJHLDNG,Mar-22,1610.0,1610.0,1.0,Strong
BAJAJHLDNG,Mar-23,1728.0,1728.0,1.0,Strong
BAJAJHLDNG,Mar-24,1941.0,1941.0,1.0,Strong
BAJFINANCE,Mar-15,-7064.0,-7064.0,1.0,Strong
BAJFINANCE,Mar-16,-9870.0,-9870.0,1.0,Strong
BAJFINANCE,Mar-17,-10439.0,-10439.0,1.0,Strong
BAJFINANCE,Mar-18,-20566.0,-20566.0,1.0,Strong
BAJFINANCE,Mar-19,-29062.0,-29062.0,1.0,Strong
BAJFINANCE,Mar-20,-24412.0,-24412.0,1.0,Strong
BAJFINANCE,Mar-21,-807.0,-807.0,1.0,Strong
BAJFINANCE,Mar-22,-37090.0,-37090.0,1.0,Strong
BAJFINANCE,Mar-23,-42112.0,-42112.0,1.0,Strong
BAJFINANCE,Mar-24,-72760.0,-72760.0,1.0,Strong
BANKBARODA,Mar-13,23196.0,23196.0,1.0,Strong
BANKBARODA,Mar-14,42233.0,42233.0,1.0,Strong
BANKBARODA,Mar-15,17838.0,17838.0,1.0,Strong
BANKBARODA,Mar-16,-10011.0,-10011.0,1.0,Strong
BANKBARODA,Mar-17,17865.0,17865.0,1.0,Strong
BANKBARODA,Mar-18,-59692.0,-59692.0,1.0,Strong
BANKBARODA,Mar-19,-1449.0,-1449.0,1.0,Strong
BANKBARODA,Mar-20,18531.0,18531.0,1.0,Strong
BANKBARODA,Mar-21,-887.0,-887.0,1.0,Strong
BANKBARODA,Mar-22,6210.0,6210.0,1.0,Strong
BANKBARODA,Mar-23,-21354.0,-21354.0,1.0,Strong
BANKBARODA,Mar-24,-6274.0,-6274.0,1.0,Strong
BEL,Mar-13,-1539.0,-1539.0,1.0,Strong
BEL,Mar-14,-569.0,-569.0,1.0,Strong
BEL,Mar-15,1434.0,1434.0,1.0,Strong
BEL,Mar-16,2260.0,2260.0,1.0,Strong
BEL,Mar-17,-61.0,-61.0,1.0,Strong
BEL,Mar-18,-687.0,-687.0,1.0,Strong
BEL,Mar-19,1514.0,1514.0,1.0,Strong
BEL,Mar-20,2570.0,2570.0,1.0,Strong
BEL,Mar-21,5093.0,5093.0,1.0,Strong
BEL,Mar-22,4207.0,4207.0,1.0,Strong
BEL,Mar-23,1199.0,1199.0,1.0,Strong
BEL,Mar-24,4659.0,4659.0,1.0,Strong
BHARTIARTL,Mar-13,22608.0,22608.0,1.0,Strong
BHARTIARTL,Mar-14,26233.0,26233.0,1.0,Strong
BHARTIARTL,Mar-15,28059.0,28059.0,1.0,Strong
BHARTIARTL,Mar-16,27942.0,27942.0,1.0,Strong
BHARTIARTL,Mar-17,28280.0,28280.0,1.0,Strong
BHARTIARTL,Mar-18,29854.0,29854.0,1.0,Strong
BHARTIARTL,Mar-19,20070.0,20070.0,1.0,Strong
BHARTIARTL,Mar-20,18129.0,18129.0,1.0,Strong
BHARTIARTL,Mar-21,48205.0,48205.0,1.0,Strong
BHARTIARTL,Mar-22,55017.0,55017.0,1.0,Strong
BHARTIARTL,Mar-23,65325.0,65325.0,1.0,Strong
BHARTIARTL,Mar-24,78898.0,78898.0,1.0,Strong
BHEL,Mar-13,1759.0,1759.0,1.0,Strong
BHEL,Mar-14,4512.0,4512.0,1.0,Strong
BHEL,Mar-15,821.0,821.0,1.0,Strong
BHEL,Mar-16,374.0,374.0,1.0,Strong
BHEL,Mar-17,560.0,560.0,1.0,Strong
BHEL,Mar-18,989.0,989.0,1.0,Strong
BHEL,Mar-19,-3860.0,-3860.0,1.0,Strong
BHEL,Mar-20,-2892.0,-2892.0,1.0,Strong
BHEL,Mar-21,560.0,560.0,1.0,Strong
BHEL,Mar-22,660.0,660.0,1.0,Strong
BHEL,Mar-23,-741.0,-741.0,1.0,Strong
BHEL,Mar-24,-3713.0,-3713.0,1.0,Strong
BOSCHLTD,Dec-12,871.0,871.0,1.0,Strong
BOSCHLTD,Dec-13,1057.0,1057.0,1.0,Strong
BOSCHLTD,Mar-15,1396.0,1396.0,1.0,Strong
BOSCHLTD,Mar-16,1318.0,1318.0,1.0,Strong
BOSCHLTD,Mar-17,1457.0,1457.0,1.0,Strong
BOSCHLTD,Mar-18,1729.0,1729.0,1.0,Strong
BOSCHLTD,Mar-19,593.0,593.0,1.0,Strong
BOSCHLTD,Mar-20,1336.0,1336.0,1.0,Strong
BOSCHLTD,Mar-21,835.0,835.0,1.0,Strong
BOSCHLTD,Mar-22,271.0,271.0,1.0,Strong
BOSCHLTD,Mar-23,1214.0,1214.0,1.0,Strong
BOSCHLTD,Mar-24,1253.0,1253.0,1.0,Strong
BPCL,Mar-13,5926.0,5926.0,1.0,Strong
BPCL,Mar-14,9588.0,9588.0,1.0,Strong
BPCL,Mar-15,20742.0,20742.0,1.0,Strong
BPCL,Mar-16,11119.0,11119.0,1.0,Strong
BPCL,Mar-17,9041.0,9041.0,1.0,Strong
BPCL,Mar-18,11068.0,11068.0,1.0,Strong
BPCL,Mar-19,10157.0,10157.0,1.0,Strong
BPCL,Mar-20,7881.0,7881.0,1.0,Strong
BPCL,Mar-21,23455.0,23455.0,1.0,Strong
BPCL,Mar-22,20336.0,20336.0,1.0,Strong
BPCL,Mar-23,12466.0,12466.0,1.0,Strong
BPCL,Mar-24,35936.0,35936.0,1.0,Strong
BRITANNIA,Mar-13,320.0,320.0,1.0,Strong
BRITANNIA,Mar-14,671.0,671.0,1.0,Strong
BRITANNIA,Mar-15,584.0,584.0,1.0,Strong
BRITANNIA,Mar-16,959.0,959.0,1.0,Strong
BRITANNIA,Mar-17,441.0,441.0,1.0,Strong
BRITANNIA,Mar-18,1249.0,1249.0,1.0,Strong
BRITANNIA,Mar-19,1156.0,1156.0,1.0,Strong
BRITANNIA,Mar-20,1485.0,1485.0,1.0,Strong
BRITANNIA,Mar-21,1876.0,1876.0,1.0,Strong
BRITANNIA,Mar-22,1300.0,1300.0,1.0,Strong
BRITANNIA,Mar-23,2526.0,2526.0,1.0,Strong
BRITANNIA,Mar-24,2573.0,2573.0,1.0,Strong
CANBK,Mar-13,8010.0,8010.0,1.0,Strong
CANBK,Mar-14,14244.0,14244.0,1.0,Strong
CANBK,Mar-15,6344.0,6344.0,1.0,Strong
CANBK,Mar-16,9346.0,9346.0,1.0,Strong
CANBK,Mar-17,2575.0,2575.0,1.0,Strong
CANBK,Mar-18,-11120.0,-11120.0,1.0,Strong
CANBK,Mar-19,18237.0,18237.0,1.0,Strong
CANBK,Mar-20,-5289.0,-5289.0,1.0,Strong
CANBK,Mar-21,59118.0,59118.0,1.0,Strong
CANBK,Mar-22,919.0,919.0,1.0,Strong
CANBK,Mar-23,-39978.0,-39978.0,1.0,Strong
CANBK,Mar-24,15046.0,15046.0,1.0,Strong
CHOLAFIN,Mar-13,-3754.0,-3754.0,1.0,Strong
CHOLAFIN,Mar-14,-2447.0,-2447.0,1.0,Strong
CHOLAFIN,Mar-15,-2264.0,-2264.0,1.0,Strong
CHOLAFIN,Mar-16,-2809.0,-2809.0,1.0,Strong
CHOLAFIN,Mar-17,-1468.0,-1468.0,1.0,Strong
CHOLAFIN,Mar-18,-7926.0,-7926.0,1.0,Strong
CHOLAFIN,Mar-19,-9317.0,-9317.0,1.0,Strong
CHOLAFIN,Mar-20,-2075.0,-2075.0,1.0,Strong
CHOLAFIN,Mar-21,-8848.0,-8848.0,1.0,Strong
CHOLAFIN,Mar-22,-5571.0,-5571.0,1.0,Strong
CHOLAFIN,Mar-23,-27105.0,-27105.0,1.0,Strong
CHOLAFIN,Mar-24,-35683.0,-35683.0,1.0,Strong
CIPLA,Mar-13,1398.0,1398.0,1.0,Strong
CIPLA,Mar-14,1563.0,1563.0,1.0,Strong
CIPLA,Mar-15,1173.0,1173.0,1.0,Strong
CIPLA,Mar-16,1741.0,1741.0,1.0,Strong
CIPLA,Mar-17,2382.0,2382.0,1.0,Strong
CIPLA,Mar-18,1463.0,1463.0,1.0,Strong
CIPLA,Mar-19,1691.0,1691.0,1.0,Strong
CIPLA,Mar-20,3068.0,3068.0,1.0,Strong
CIPLA,Mar-21,3755.0,3755.0,1.0,Strong
CIPLA,Mar-22,3326.0,3326.0,1.0,Strong
CIPLA,Mar-23,3238.0,3238.0,1.0,Strong
CIPLA,Mar-24,4134.0,4134.0,1.0,Strong
COALINDIA,Mar-13,9109.0,9109.0,1.0,Strong
COALINDIA,Mar-14,14525.0,14525.0,1.0,Strong
COALINDIA,Mar-15,14382.0,14382.0,1.0,Strong
COALINDIA,Mar-16,13154.0,13154.0,1.0,Strong
COALINDIA,Mar-17,16461.0,16461.0,1.0,Strong
COALINDIA,Mar-18,21115.0,21115.0,1.0,Strong
COALINDIA,Mar-19,16356.0,16356.0,1.0,Strong
COALINDIA,Mar-20,4977.0,4977.0,1.0,Strong
COALINDIA,Mar-21,10592.0,10592.0,1.0,Strong
COALINDIA,Mar-22,41107.0,41107.0,1.0,Strong
COALINDIA,Mar-23,35734.0,35734.0,1.0,Strong
COALINDIA,Mar-24,18103.0,18103.0,1.0,Strong
DABUR,Mar-13,870.0,870.0,1.0,Strong
DABUR,Mar-14,1098.0,1098.0,1.0,Strong
DABUR,Mar-15,1047.0,1047.0,1.0,Strong
DABUR,Mar-16,1187.0,1187.0,1.0,Strong
DABUR,Mar-17,1227.0,1227.0,1.0,Strong
DABUR,Mar-18,1092.0,1092.0,1.0,Strong
DABUR,Mar-19,1499.0,1499.0,1.0,Strong
DABUR,Mar-20,1614.0,1614.0,1.0,Strong
DABUR,Mar-21,2115.0,2115.0,1.0,Strong
DABUR,Mar-22,1802.0,1802.0,1.0,Strong
DABUR,Mar-23,1488.0,1488.0,1.0,Strong
DABUR,Mar-24,2013.0,2013.0,1.0,Strong
DIVISLAB,Mar-13,480.0,480.0,1.0,Strong
DIVISLAB,Mar-14,557.0,557.0,1.0,Strong
DIVISLAB,Mar-15,826.0,826.0,1.0,Strong
DIVISLAB,Mar-16,1038.0,1038.0,1.0,Strong
DIVISLAB,Mar-17,1150.0,1150.0,1.0,Strong
DIVISLAB,Mar-18,776.0,776.0,1.0,Strong
DIVISLAB,Mar-19,954.0,954.0,1.0,Strong
DIVISLAB,Mar-20,1216.0,1216.0,1.0,Strong
DIVISLAB,Mar-21,1947.0,1947.0,1.0,Strong
DIVISLAB,Mar-22,1912.0,1912.0,1.0,Strong
DIVISLAB,Mar-23,2459.0,2459.0,1.0,Strong
DIVISLAB,Mar-24,1261.0,1261.0,1.0,Strong
DLF,Mar-13,2009.0,2009.0,1.0,Strong
DLF,Mar-14,1468.0,1468.0,1.0,Strong
DLF,Mar-15,2037.0,2037.0,1.0,Strong
DLF,Mar-16,2957.0,2957.0,1.0,Strong
DLF,Mar-17,-898.0,-898.0,1.0,Strong
DLF,Mar-18,270.0,270.0,1.0,Strong
DLF,Mar-19,2043.0,2043.0,1.0,Strong
DLF,Mar-20,356.0,356.0,1.0,Strong
DLF,Mar-21,1460.0,1460.0,1.0,Strong
DLF,Mar-22,2832.0,2832.0,1.0,Strong
DLF,Mar-23,2375.0,2375.0,1.0,Strong
DLF,Mar-24,2539.0,2539.0,1.0,Strong
DMART,Mar-13,127.0,127.0,1.0,Strong
DMART,Mar-14,198.0,198.0,1.0,Strong
DMART,Mar-15,222.0,222.0,1.0,Strong
DMART,Mar-16,433.0,433.0,1.0,Strong
DMART,Mar-17,455.0,455.0,1.0,Strong
DMART,Mar-18,730.0,730.0,1.0,Strong
DMART,Mar-19,807.0,807.0,1.0,Strong
DMART,Mar-20,1280.0,1280.0,1.0,Strong
DMART,Mar-21,1375.0,1375.0,1.0,Strong
DMART,Mar-22,1372.0,1372.0,1.0,Strong
DMART,Mar-23,2630.0,2630.0,1.0,Strong
DMART,Mar-24,2746.0,2746.0,1.0,Strong
DRREDDY,Mar-13,1378.0,1378.0,1.0,Strong
DRREDDY,Mar-14,1970.0,1970.0,1.0,Strong
DRREDDY,Mar-15,2524.0,2524.0,1.0,Strong
DRREDDY,Mar-16,3263.0,3263.0,1.0,Strong
DRREDDY,Mar-17,2144.0,2144.0,1.0,Strong
DRREDDY,Mar-18,1803.0,1803.0,1.0,Strong
DRREDDY,Mar-19,2870.0,2870.0,1.0,Strong
DRREDDY,Mar-20,2984.0,2984.0,1.0,Strong
DRREDDY,Mar-21,3570.0,3570.0,1.0,Strong
DRREDDY,Mar-22,2811.0,2811.0,1.0,Strong
DRREDDY,Mar-23,5888.0,5888.0,1.0,Strong
DRREDDY,Mar-24,4543.0,4543.0,1.0,Strong
EICHERMOT,Dec-12,496.0,496.0,1.0,Strong
EICHERMOT,Dec-13,716.0,716.0,1.0,Strong
EICHERMOT,Dec-14,1047.0,1047.0,1.0,Strong
EICHERMOT,Mar-16,1463.0,1463.0,1.0,Strong
EICHERMOT,Mar-17,1708.0,1708.0,1.0,Strong
EICHERMOT,Mar-18,2482.0,2482.0,1.0,Strong
EICHERMOT,Mar-19,1575.0,1575.0,1.0,Strong
EICHERMOT,Mar-20,1694.0,1694.0,1.0,Strong
EICHERMOT,Mar-21,1691.0,1691.0,1.0,Strong
EICHERMOT,Mar-22,1527.0,1527.0,1.0,Strong
EICHERMOT,Mar-23,2823.0,2823.0,1.0,Strong
EICHERMOT,Mar-24,3724.0,3724.0,1.0,Strong
GAIL,Mar-13,6603.0,6603.0,1.0,Strong
GAIL,Mar-14,4615.0,4615.0,1.0,Strong
GAIL,Mar-15,4214.0,4214.0,1.0,Strong
GAIL,Mar-16,3960.0,3960.0,1.0,Strong
GAIL,Mar-17,6024.0,6024.0,1.0,Strong
GAIL,Mar-18,8769.0,8769.0,1.0,Strong
GAIL,Mar-19,7984.0,7984.0,1.0,Strong
GAIL,Mar-20,8345.0,8345.0,1.0,Strong
GAIL,Mar-21,8993.0,8993.0,1.0,Strong
GAIL,Mar-22,9420.0,9420.0,1.0,Strong
GAIL,Mar-23,3205.0,3205.0,1.0,Strong
GAIL,Mar-24,12586.0,12586.0,1.0,Strong
GODREJCP,Mar-13,820.0,820.0,1.0,Strong
GODREJCP,Mar-14,1116.0,1116.0,1.0,Strong
GODREJCP,Mar-15,1027.0,1027.0,1.0,Strong
GODREJCP,Mar-16,847.0,847.0,1.0,Strong
GODREJCP,Mar-17,1860.0,1860.0,1.0,Strong
GODREJCP,Mar-18,1723.0,1723.0,1.0,Strong
GODREJCP,Mar-19,1729.0,1729.0,1.0,Strong
GODREJCP,Mar-20,1588.0,1588.0,1.0,Strong
GODREJCP,Mar-21,2030.0,2030.0,1.0,Strong
GODREJCP,Mar-22,1451.0,1451.0,1.0,Strong
GODREJCP,Mar-23,2151.0,2151.0,1.0,Strong
GODREJCP,Mar-24,2070.0,2070.0,1.0,Strong
GRASIM,Mar-13,4242.0,4242.0,1.0,Strong
GRASIM,Mar-14,3549.0,3549.0,1.0,Strong
GRASIM,Mar-15,4594.0,4594.0,1.0,Strong
GRASIM,Mar-16,5868.0,5868.0,1.0,Strong
GRASIM,Mar-17,7288.0,7288.0,1.0,Strong
GRASIM,Mar-18,-4140.0,-4140.0,1.0,Strong
GRASIM,Mar-19,-1659.0,-1659.0,1.0,Strong
GRASIM,Mar-20,16620.0,16620.0,1.0,Strong
GRASIM,Mar-21,15075.0,15075.0,1.0,Strong
GRASIM,Mar-22,7038.0,7038.0,1.0,Strong
GRASIM,Mar-23,-12685.0,-12685.0,1.0,Strong
GRASIM,Mar-24,-10719.0,-10719.0,1.0,Strong
HAL,Mar-17,-423.0,-423.0,1.0,Strong
HAL,Mar-18,-734.0,-734.0,1.0,Strong
HAL,Mar-19,-7694.0,-7694.0,1.0,Strong
HAL,Mar-20,1537.0,1537.0,1.0,Strong
HAL,Mar-21,15124.0,15124.0,1.0,Strong
HAL,Mar-22,10180.0,10180.0,1.0,Strong
HAL,Mar-23,8836.0,8836.0,1.0,Strong
HAL,Mar-24,8226.0,8226.0,1.0,Strong
HAVELLS,Mar-13,638.0,638.0,1.0,Strong
HAVELLS,Mar-14,868.0,868.0,1.0,Strong
HAVELLS,Mar-15,963.0,963.0,1.0,Strong
HAVELLS,Mar-16,513.0,513.0,1.0,Strong
HAVELLS,Mar-17,767.0,767.0,1.0,Strong
HAVELLS,Mar-18,1100.0,1100.0,1.0,Strong
HAVELLS,Mar-19,501.0,501.0,1.0,Strong
HAVELLS,Mar-20,827.0,827.0,1.0,Strong
HAVELLS,Mar-21,660.0,660.0,1.0,Strong
HAVELLS,Mar-22,1728.0,1728.0,1.0,Strong
HAVELLS,Mar-23,565.0,565.0,1.0,Strong
HAVELLS,Mar-24,1953.0,1953.0,1.0,Strong
HCLTECH,Jun-13,4492.0,4492.0,1.0,Strong
HCLTECH,Jun-14,6457.0,6457.0,1.0,Strong
HCLTECH,Jun-15,5539.0,5539.0,1.0,Strong
HCLTECH,Mar-16,3823.0,,,Unknown
HCLTECH,Mar-17,8995.0,8995.0,1.0,Strong
HCLTECH,Mar-18,8328.0,8328.0,1.0,Strong
HCLTECH,Mar-19,8971.0,8971.0,1.0,Strong
HCLTECH,Mar-20,13359.0,13359.0,1.0,Strong
HCLTECH,Mar-21,19618.0,19618.0,1.0,Strong
