company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
AXISBANK,Mar-15,-,+,+,Distress
AXISBANK,Mar-16,-,+,+,Distress
AXISBANK,Mar-17,+,+,+,Other
AXISBANK,Mar-18,-,+,+,Distress
AXISBANK,Mar-19,+,+,+,Other
AXISBANK,Mar-20,+,+,+,Other
AXISBANK,Mar-21,+,+,+,Other
AXISBANK,Mar-22,+,+,+,Other
AXISBANK,Mar-23,+,+,+,Other
AXISBANK,Mar-24,-,+,+,Distress
BAJAJ-AUTO,Mar-13,+,+,+,Other
BAJAJ-AUTO,Mar-14,+,+,+,Other
BAJAJ-AUTO,Mar-15,+,+,+,Other
BAJAJ-AUTO,Mar-16,+,+,+,Other
BAJAJ-AUTO,Mar-17,+,+,+,Other
BAJAJ-AUTO,Mar-18,+,+,+,Other
BAJAJ-AUTO,Mar-19,+,+,+,Other
BAJAJ-AUTO,Mar-20,+,+,+,Other
BAJAJ-AUTO,Mar-21,+,+,+,Other
BAJAJ-AUTO,Mar-22,+,+,+,Other
BAJAJ-AUTO,Mar-23,+,+,+,Other
BAJAJ-AUTO,Mar-24,+,+,+,Other
BAJAJFINSV,Mar-13,-,+,+,Distress
BAJAJFINSV,Mar-14,-,+,+,Distress
BAJAJFINSV,Mar-15,-,+,+,Distress
BAJAJFINSV,Mar-16,-,+,+,Distress
BAJAJFINSV,Mar-17,-,+,+,Distress
BAJAJFINSV,Mar-18,-,+,+,Distress
BAJAJFINSV,Mar-19,-,+,+,Distress
BAJAJFINSV,Mar-20,-,+,+,Distress
BAJAJFINSV,Mar-21,+,+,+,Other
BAJAJFINSV,Mar-22,-,+,+,Distress
BAJAJFINSV,Mar-23,-,+,+,Distress
BAJAJFINSV,Mar-24,-,+,+,Distress
BAJAJHLDNG,Mar-13,+,+,+,Other
BAJAJHLDNG,Mar-14,+,+,+,Other
BAJAJHLDNG,Mar-15,+,+,+,Other
BAJAJHLDNG,Mar-16,+,+,+,Other
BAJAJHLDNG,Mar-17,-,+,+,Distress
BAJAJHLDNG,Mar-18,+,+,+,Other
BAJAJHLDNG,Mar-19,+,+,+,Other
BAJAJHLDNG,Mar-20,+,+,+,Other
BAJAJHLDNG,Mar-21,+,+,+,Other
BAJAJHLDNG,Mar-22,+,+,+,Other
BAJAJHLDNG,Mar-23,+,+,+,Other
BAJAJHLDNG,Mar-24,+,+,+,Other
BAJFINANCE,Mar-15,-,+,+,Distress
BAJFINANCE,Mar-16,-,+,+,Distress
BAJFINANCE,Mar-17,-,+,+,Distress
BAJFINANCE,Mar-18,-,+,+,Distress
BAJFINANCE,Mar-19,-,+,+,Distress
BAJFINANCE,Mar-20,-,+,+,Distress
BAJFINANCE,Mar-21,-,+,+,Distress
BAJFINANCE,Mar-22,-,+,+,Distress
BAJFINANCE,Mar-23,-,+,+,Distress
BAJFINANCE,Mar-24,-,+,+,Distress
BANKBARODA,Mar-13,+,+,+,Other
BANKBARODA,Mar-14,+,+,+,Other
BANKBARODA,Mar-15,+,+,+,Other
BANKBARODA,Mar-16,-,+,+,Distress
BANKBARODA,Mar-17,+,+,+,Other
BANKBARODA,Mar-18,-,+,+,Distress
BANKBARODA,Mar-19,-,+,+,Distress
BANKBARODA,Mar-20,+,+,+,Other
BANKBARODA,Mar-21,-,+,+,Distress
BANKBARODA,Mar-22,+,+,+,Other
BANKBARODA,Mar-23,-,+,+,Distress
BANKBARODA,Mar-24,-,+,+,Distress
BEL,Mar-13,-,+,+,Distress
BEL,Mar-14,-,+,+,Distress
BEL,Mar-15,+,+,+,Other
BEL,Mar-16,+,+,+,Other
BEL,Mar-17,-,+,+,Distress
BEL,Mar-18,-,+,+,Distress
BEL,Mar-19,+,+,+,Other
BEL,Mar-20,+,+,+,Other
BEL,Mar-21,+,+,+,Other
BEL,Mar-22,+,+,+,Other
BEL,Mar-23,+,+,+,Other
BEL,Mar-24,+,+,+,Other
BHARTIARTL,Mar-13,+,+,+,Other
BHARTIARTL,Mar-14,+,+,+,Other
BHARTIARTL,Mar-15,+,+,+,Other
BHARTIARTL,Mar-16,+,+,+,Other
BHARTIARTL,Mar-17,+,+,+,Other
BHARTIARTL,Mar-18,+,+,+,Other
BHARTIARTL,Mar-19,+,+,+,Other
BHARTIARTL,Mar-20,+,+,+,Other
BHARTIARTL,Mar-21,+,+,+,Other
BHARTIARTL,Mar-22,+,+,+,Other
BHARTIARTL,Mar-23,+,+,+,Other
BHARTIARTL,Mar-24,+,+,+,Other
BHEL,Mar-13,+,+,+,Other
BHEL,Mar-14,+,+,+,Other
BHEL,Mar-15,+,+,+,Other
BHEL,Mar-16,+,+,+,Other
BHEL,Mar-17,+,+,+,Other
BHEL,Mar-18,+,+,+,Other
BHEL,Mar-19,-,+,+,Distress
BHEL,Mar-20,-,+,+,Distress
BHEL,Mar-21,+,+,+,Other
BHEL,Mar-22,+,+,+,Other
BHEL,Mar-23,-,+,+,Distress
BHEL,Mar-24,-,+,+,Distress
BOSCHLTD,Dec-12,+,+,+,Other
BOSCHLTD,Dec-13,+,+,+,Other
BOSCHLTD,Mar-15,+,+,+,Other
BOSCHLTD,Mar-16,+,+,+,Other
BOSCHLTD,Mar-17,+,+,+,Other
BOSCHLTD,Mar-18,+,+,+,Other
BOSCHLTD,Mar-19,+,+,+,Other
BOSCHLTD,Mar-20,+,+,+,Other
BOSCHLTD,Mar-21,+,+,+,Other
BOSCHLTD,Mar-22,+,+,+,Other
BOSCHLTD,Mar-23,+,+,+,Other
BOSCHLTD,Mar-24,+,+,+,Other
BPCL,Mar-13,+,+,+,Other
BPCL,Mar-14,+,+,+,Other
BPCL,Mar-15,+,+,+,Other
BPCL,Mar-16,+,+,+,Other
BPCL,Mar-17,+,+,+,Other
BPCL,Mar-18,+,+,+,Other
BPCL,Mar-19,+,+,+,Other
BPCL,Mar-20,+,+,+,Other
BPCL,Mar-21,+,+,+,Other
BPCL,Mar-22,+,+,+,Other
BPCL,Mar-23,+,+,+,Other
BPCL,Mar-24,+,+,+,Other
BRITANNIA,Mar-13,+,+,+,Other
BRITANNIA,Mar-14,+,+,+,Other
BRITANNIA,Mar-15,+,+,+,Other
BRITANNIA,Mar-16,+,+,+,Other
BRITANNIA,Mar-17,+,+,+,Other
BRITANNIA,Mar-18,+,+,+,Other
BRITANNIA,Mar-19,+,+,+,Other
BRITANNIA,Mar-20,+,+,+,Other
BRITANNIA,Mar-21,+,+,+,Other
BRITANNIA,Mar-22,+,+,+,Other
BRITANNIA,Mar-23,+,+,+,Other
BRITANNIA,Mar-24,+,+,+,Other
CANBK,Mar-13,+,+,+,Other
CANBK,Mar-14,+,+,+,Other
CANBK,Mar-15,+,+,+,Other
CANBK,Mar-16,+,+,+,Other
CANBK,Mar-17,+,+,+,Other
CANBK,Mar-18,-,+,+,Distress
CANBK,Mar-19,+,+,+,Other
CANBK,Mar-20,-,+,+,Distress
CANBK,Mar-21,+,+,+,Other
CANBK,Mar-22,+,+,+,Other
CANBK,Mar-23,-,+,+,Distress
CANBK,Mar-24,+,+,+,Other
CHOLAFIN,Mar-13,-,+,+,Distress
CHOLAFIN,Mar-14,-,+,+,Distress
CHOLAFIN,Mar-15,-,+,+,Distress
CHOLAFIN,Mar-16,-,+,+,Distress
CHOLAFIN,Mar-17,-,+,+,Distress
CHOLAFIN,Mar-18,-,+,+,Distress
CHOLAFIN,Mar-19,-,+,+,Distress
CHOLAFIN,Mar-20,-,+,+,Distress
CHOLAFIN,Mar-21,-,+,+,Distress
CHOLAFIN,Mar-22,-,+,+,Distress
CHOLAFIN,Mar-23,-,+,+,Distress
CHOLAFIN,Mar-24,-,+,+,Distress
CIPLA,Mar-13,+,+,+,Other
CIPLA,Mar-14,+,+,+,Other
CIPLA,Mar-15,+,+,+,Other
CIPLA,Mar-16,+,+,+,Other
CIPLA,Mar-17,+,+,+,Other
CIPLA,Mar-18,+,+,+,Other
CIPLA,Mar-19,+,+,+,Other
CIPLA,Mar-20,+,+,+,Other
CIPLA,Mar-21,+,+,+,Other
CIPLA,Mar-22,+,+,+,Other
CIPLA,Mar-23,+,+,+,Other
CIPLA,Mar-24,+,+,+,Other
COALINDIA,Mar-13,+,+,+,Other
COALINDIA,Mar-14,+,+,+,Other
COALINDIA,Mar-15,+,+,+,Other
COALINDIA,Mar-16,+,+,+,Other
COALINDIA,Mar-17,+,+,+,Other
COALINDIA,Mar-18,+,+,+,Other
COALINDIA,Mar-19,+,+,+,Other
COALINDIA,Mar-20,+,+,+,Other
COALINDIA,Mar-21,+,+,+,Other
COALINDIA,Mar-22,+,+,+,Other
COALINDIA,Mar-23,+,+,+,Other
COALINDIA,Mar-24,+,+,+,Other
DABUR,Mar-13,+,+,+,Other
DABUR,Mar-14,+,+,+,Other
DABUR,Mar-15,+,+,+,Other
DABUR,Mar-16,+,+,+,Other
DABUR,Mar-17,+,+,+,Other
DABUR,Mar-18,+,+,+,Other
DABUR,Mar-19,+,+,+,Other
DABUR,Mar-20,+,+,+,Other
DABUR,Mar-21,+,+,+,Other
DABUR,Mar-22,+,+,+,Other
DABUR,Mar-23,+,+,+,Other
DABUR,Mar-24,+,+,+,Other
DIVISLAB,Mar-13,+,+,+,Other
DIVISLAB,Mar-14,+,+,+,Other
DIVISLAB,Mar-15,+,+,+,Other
DIVISLAB,Mar-16,+,+,+,Other
DIVISLAB,Mar-17,+,+,+,Other
DIVISLAB,Mar-18,+,+,+,Other
DIVISLAB,Mar-19,+,+,+,Other
DIVISLAB,Mar-20,+,+,+,Other
DIVISLAB,Mar-21,+,+,+,Other
DIVISLAB,Mar-22,+,+,+,Other
DIVISLAB,Mar-23,+,+,+,Other
DIVISLAB,Mar-24,+,+,+,Other
DLF,Mar-13,+,+,+,Other
DLF,Mar-14,+,+,+,Other
DLF,Mar-15,+,+,+,Other
DLF,Mar-16,+,+,+,Other
DLF,Mar-17,-,+,+,Distress
DLF,Mar-18,+,+,+,Other
DLF,Mar-19,+,+,+,Other
DLF,Mar-20,+,+,+,Other
DLF,Mar-21,+,+,+,Other
DLF,Mar-22,+,+,+,Other
DLF,Mar-23,+,+,+,Other
DLF,Mar-24,+,+,+,Other
DMART,Mar-13,+,+,+,Other
DMART,Mar-14,+,+,+,Other
DMART,Mar-15,+,+,+,Other
DMART,Mar-16,+,+,+,Other
DMART,Mar-17,+,+,+,Other
DMART,Mar-18,+,+,+,Other
DMART,Mar-19,+,+,+,Other
DMART,Mar-20,+,+,+,Other
DMART,Mar-21,+,+,+,Other
DMART,Mar-22,+,+,+,Other
DMART,Mar-23,+,+,+,Other
DMART,Mar-24,+,+,+,Other
DRREDDY,Mar-13,+,+,+,Other
DRREDDY,Mar-14,+,+,+,Other
DRREDDY,Mar-15,+,+,+,Other
DRREDDY,Mar-16,+,+,+,Other
DRREDDY,Mar-17,+,+,+,Other
DRREDDY,Mar-18,+,+,+,Other
DRREDDY,Mar-19,+,+,+,Other
DRREDDY,Mar-20,+,+,+,Other
DRREDDY,Mar-21,+,+,+,Other
DRREDDY,Mar-22,+,+,+,Other
DRREDDY,Mar-23,+,+,+,Other
DRREDDY,Mar-24,+,+,+,Other
EICHERMOT,Dec-12,+,+,+,Other
EICHERMOT,Dec-13,+,+,+,Other
EICHERMOT,Dec-14,+,+,+,Other
EICHERMOT,Mar-16,+,+,+,Other
EICHERMOT,Mar-17,+,+,+,Other
EICHERMOT,Mar-18,+,+,+,Other
EICHERMOT,Mar-19,+,+,+,Other
EICHERMOT,Mar-20,+,+,+,Other
EICHERMOT,Mar-21,+,+,+,Other
EICHERMOT,Mar-22,+,+,+,Other
EICHERMOT,Mar-23,+,+,+,Other
EICHERMOT,Mar-24,+,+,+,Other
GAIL,Mar-13,+,+,+,Other
GAIL,Mar-14,+,+,+,Other
GAIL,Mar-15,+,+,+,Other
GAIL,Mar-16,+,+,+,Other
GAIL,Mar-17,+,+,+,Other
GAIL,Mar-18,+,+,+,Other
GAIL,Mar-19,+,+,+,Other
GAIL,Mar-20,+,+,+,Other
GAIL,Mar-21,+,+,+,Other
GAIL,Mar-22,+,+,+,Other
GAIL,Mar-23,+,+,+,Other
GAIL,Mar-24,+,+,+,Other
GODREJCP,Mar-13,+,+,+,Other
GODREJCP,Mar-14,+,+,+,Other
GODREJCP,Mar-15,+,+,+,Other
GODREJCP,Mar-16,+,+,+,Other
GODREJCP,Mar-17,+,+,+,Other
GODREJCP,Mar-18,+,+,+,Other
GODREJCP,Mar-19,+,+,+,Other
GODREJCP,Mar-20,+,+,+,Other
GODREJCP,Mar-21,+,+,+,Other
GODREJCP,Mar-22,+,+,+,Other
GODREJCP,Mar-23,+,+,+,Other
GODREJCP,Mar-24,+,+,+,Other
GRASIM,Mar-13,+,+,+,Other
GRASIM,Mar-14,+,+,+,Other
GRASIM,Mar-15,+,+,+,Other
GRASIM,Mar-16,+,+,+,Other
GRASIM,Mar-17,+,+,+,Other
GRASIM,Mar-18,-,+,+,Distress
GRASIM,Mar-19,-,+,+,Distress
GRASIM,Mar-20,+,+,+,Other
GRASIM,Mar-21,+,+,+,Other
GRASIM,Mar-22,+,+,+,Other
GRASIM,Mar-23,-,+,+,Distress
GRASIM,Mar-24,-,+,+,Distress
HAL,Mar-17,-,+,+,Distress
HAL,Mar-18,-,+,+,Distress
HAL,Mar-19,-,+,+,Distress
HAL,Mar-20,+,+,+,Other
HAL,Mar-21,+,+,+,Other
HAL,Mar-22,+,+,+,Other
HAL,Mar-23,+,+,+,Other
HAL,Mar-24,+,+,+,Other
HAVELLS,Mar-13,+,+,+,Other
HAVELLS,Mar-14,+,+,+,Other
HAVELLS,Mar-15,+,+,+,Other
HAVELLS,Mar-16,+,+,+,Other
HAVELLS,Mar-17,+,+,+,Other
HAVELLS,Mar-18,+,+,+,Other
HAVELLS,Mar-19,+,+,+,Other
HAVELLS,Mar-20,+,+,+,Other
HAVELLS,Mar-21,+,+,+,Other
HAVELLS,Mar-22,+,+,+,Other
HAVELLS,Mar-23,+,+,+,Other
HAVELLS,Mar-24,+,+,+,Other
HCLTECH,Jun-13,+,+,+,Other
HCLTECH,Jun-14,+,+,+,Other
HCLTECH,Jun-15,+,+,+,Other
HCLTECH,Mar-16,-,+,+,Distress
HCLTECH,Mar-17,+,+,+,Other
HCLTECH,Mar-18,+,+,+,Other
HCLTECH,Mar-19,+,+,+,Other
HCLTECH,Mar-20,+,+,+,Other
HCLTECH,Mar-21,+,+,+,Other
HCLTECH,Mar-22,+,+,+,Other
HCLTECH,Mar-23,+,+,+,Other
HCLTECH,Mar-24,+,+,+,Other
HDFCBANK,Mar-13,-,+,+,Distress
HDFCBANK,Mar-14,+,+,+,Other
HDFCBANK,Mar-15,-,+,+,Distress
HDFCBANK,Mar-16,-,+,+,Distress
HDFCBANK,Mar-17,+,+,+,Other
HDFCBANK,Mar-18,+,+,+,Other
HDFCBANK,Mar-19,-,+,+,Distress
HDFCBANK,Mar-20,-,+,+,Distress
HDFCBANK,Mar-21,+,+,+,Other
HDFCBANK,Mar-22,-,+,+,Distress
HDFCBANK,Mar-23,+,+,+,Other
HDFCBANK,Mar-24,+,+,+,Other
HDFCLIFE,Mar-13,-,+,+,Distress
HDFCLIFE,Mar-14,-,+,+,Distress
HDFCLIFE,Mar-15,+,+,+,Other
HDFCLIFE,Mar-16,+,+,+,Other
HDFCLIFE,Mar-17,+,+,+,Other
HDFCLIFE,Mar-18,+,+,+,Other
HDFCLIFE,Mar-19,+,+,+,Other
HDFCLIFE,Mar-20,+,+,+,Other
HDFCLIFE,Mar-21,+,+,+,Other
HDFCLIFE,Mar-22,+,+,+,Other
HDFCLIFE,Mar-23,+,+,+,Other
HDFCLIFE,Mar-24,+,+,+,Other
HEROMOTOCO,Mar-14,+,+,+,Other
HEROMOTOCO,Mar-15,+,+,+,Other
HEROMOTOCO,Mar-16,+,+,+,Other
HEROMOTOCO,Mar-17,+,+,+,Other
HEROMOTOCO,Mar-18,+,+,+,Other
HEROMOTOCO,Mar-19,+,+,+,Other
HEROMOTOCO,Mar-20,+,+,+,Other
HEROMOTOCO,Mar-21,+,+,+,Other
HEROMOTOCO,Mar-22,+,+,+,Other
HEROMOTOCO,Mar-23,+,+,+,Other
HEROMOTOCO,Mar-24,+,+,+,Other
HINDALCO,Mar-13,+,+,+,Other
HINDALCO,Mar-14,+,+,+,Other
HINDALCO,Mar-15,+,+,+,Other
HINDALCO,Mar-16,+,+,+,Other
HINDALCO,Mar-17,+,+,+,Other
HINDALCO,Mar-18,+,+,+,Other
HINDALCO,Mar-19,+,+,+,Other
HINDALCO,Mar-20,+,+,+,Other
HINDALCO,Mar-21,+,+,+,Other
HINDALCO,Mar-22,+,+,+,Other
HINDALCO,Mar-23,+,+,+,Other
HINDALCO,Mar-24,+,+,+,Other
HINDUNILVR,Mar-13,+,+,+,Other
HINDUNILVR,Mar-14,+,+,+,Other
HINDUNILVR,Mar-15,+,+,+,Other
HINDUNILVR,Mar-16,+,+,+,Other
HINDUNILVR,Mar-17,+,+,+,Other
HINDUNILVR,Mar-18,+,+,+,Other
HINDUNILVR,Mar-19,+,+,+,Other
HINDUNILVR,Mar-20,+,+,+,Other
HINDUNILVR,Mar-21,+,+,+,Other
HINDUNILVR,Mar-22,+,+,+,Other
HINDUNILVR,Mar-23,+,+,+,Other
HINDUNILVR,Mar-24,+,+,+,Other
ICICIBANK,Mar-13,+,+,+,Other
ICICIBANK,Mar-14,+,+,+,Other
ICICIBANK,Mar-15,-,+,+,Distress
ICICIBANK,Mar-16,+,+,+,Other
ICICIBANK,Mar-17,+,+,+,Other
ICICIBANK,Mar-18,+,+,+,Other
ICICIBANK,Mar-19,+,+,+,Other
ICICIBANK,Mar-20,+,+,+,Other
ICICIBANK,Mar-21,+,+,+,Other
ICICIBANK,Mar-22,+,+,+,Other
ICICIBANK,Mar-23,-,+,+,Distress
ICICIBANK,Mar-24,+,+,+,Other
ICICIGI,Mar-13,+,+,+,Other
ICICIGI,Mar-14,+,+,+,Other
ICICIGI,Mar-15,-,+,+,Distress
ICICIGI,Mar-16,+,+,+,Other
ICICIGI,Mar-17,+,+,+,Other
ICICIGI,Mar-18,+,+,+,Other
ICICIGI,Mar-19,+,+,+,Other
ICICIGI,Mar-20,+,+,+,Other
ICICIGI,Mar-21,+,+,+,Other
ICICIGI,Mar-22,+,+,+,Other
ICICIGI,Mar-23,+,+,+,Other
ICICIGI,Mar-24,+,+,+,Other
ICICIPRULI,Mar-13,-,+,+,Distress
ICICIPRULI,Mar-14,-,+,+,Distress
ICICIPRULI,Mar-15,+,+,+,Other
ICICIPRULI,Mar-16,+,+,+,Other
ICICIPRULI,Mar-17,+,+,+,Other
ICICIPRULI,Mar-18,+,+,+,Other
ICICIPRULI,Mar-19,+,+,+,Other
ICICIPRULI,Mar-20,+,+,+,Other
ICICIPRULI,Mar-21,+,+,+,Other
ICICIPRULI,Mar-22,+,+,+,Other
ICICIPRULI,Mar-23,+,+,+,Other
ICICIPRULI,Mar-24,-,+,+,Distress
INDIGO,Mar-13,+,+,+,Other
INDIGO,Mar-14,+,+,+,Other
INDIGO,Mar-15,+,+,+,Other
INDIGO,Mar-16,+,+,+,Other
INDIGO,Mar-17,+,+,+,Other
INDIGO,Mar-18,+,+,+,Other
INDIGO,Mar-19,+,+,+,Other
INDIGO,Mar-20,+,+,+,Other
INDIGO,Mar-21,-,+,+,Distress
INDIGO,Mar-22,+,+,+,Other
INDIGO,Mar-23,+,+,+,Other
INDIGO,Mar-24,+,+,+,Other
INDUSINDBK,Mar-13,-,+,+,Distress
INDUSINDBK,Mar-14,-,+,+,Distress
INDUSINDBK,Mar-15,-,+,+,Distress
INDUSINDBK,Mar-16,-,+,+,Distress
INDUSINDBK,Mar-17,+,+,+,Other
INDUSINDBK,Mar-18,-,+,+,Distress
INDUSINDBK,Mar-19,-,+,+,Distress
INDUSINDBK,Mar-20,-,+,+,Distress
INDUSINDBK,Mar-21,+,+,+,Other
INDUSINDBK,Mar-22,+,+,+,Other
INDUSINDBK,Mar-23,-,+,+,Distress
INDUSINDBK,Mar-24,-,+,+,Distress
INFY,Mar-13,+,+,+,Other
INFY,Mar-14,+,+,+,Other
INFY,Mar-15,+,+,+,Other
INFY,Mar-16,+,+,+,Other
INFY,Mar-17,+,+,+,Other
INFY,Mar-18,+,+,+,Other
INFY,Mar-19,+,+,+,Other
INFY,Mar-20,+,+,+,Other
INFY,Mar-21,+,+,+,Other
INFY,Mar-22,+,+,+,Other
INFY,Mar-23,+,+,+,Other
INFY,Mar-24,+,+,+,Other
IOC,Mar-13,+,+,+,Other
IOC,Mar-14,+,+,+,Other
IOC,Mar-15,+,+,+,Other
IOC,Mar-16,+,+,+,Other
IOC,Mar-17,+,+,+,Other
IOC,Mar-18,+,+,+,Other
IOC,Mar-19,+,+,+,Other
IOC,Mar-20,+,+,+,Other
IOC,Mar-21,+,+,+,Other
IOC,Mar-22,+,+,+,Other
IOC,Mar-23,+,+,+,Other
IOC,Mar-24,+,+,+,Other
IRCTC,Mar-15,+,+,+,Other
IRCTC,Mar-16,+,+,+,Other
IRCTC,Mar-17,+,+,+,Other
IRCTC,Mar-18,+,+,+,Other
IRCTC,Mar-19,+,+,+,Other
IRCTC,Mar-20,+,+,+,Other
IRCTC,Mar-21,+,+,+,Other
IRCTC,Mar-22,+,+,+,Other
IRCTC,Mar-23,+,+,+,Other
IRCTC,Mar-24,+,+,+,Other
IRFC,Mar-16,-,+,+,Distress
IRFC,Mar-17,-,+,+,Distress
IRFC,Mar-18,-,+,+,Distress
IRFC,Mar-19,-,+,+,Distress
IRFC,Mar-20,-,+,+,Distress
IRFC,Mar-21,-,+,+,Distress
IRFC,Mar-22,-,+,+,Distress
IRFC,Mar-23,-,+,+,Distress
IRFC,Mar-24,+,+,+,Other
ITC,Mar-13,+,+,+,Other
ITC,Mar-14,+,+,+,Other
ITC,Mar-15,+,+,+,Other
ITC,Mar-16,+,+,+,Other
ITC,Mar-17,+,+,+,Other
ITC,Mar-18,+,+,+,Other
ITC,Mar-19,+,+,+,Other
ITC,Mar-20,+,+,+,Other
ITC,Mar-21,+,+,+,Other
ITC,Mar-22,+,+,+,Other
